Lab,Method,Subject,Subject_Unique,Language,Age,Session,total_trial_n,language_recoded,Native,ADS,IDS,Diff,Prop,binary_pref
infantll-madison,HPP,mb2_013,infantll-madison:mb2_013,English,222,2,10,American English,TRUE,1.1669162961637947,1.49568654217809,0.3287702460142954,0.5617385066371812,IDS_preference
infantll-madison,HPP,mb2_014,infantll-madison:mb2_014,English,192,1,9,American English,TRUE,2.417847614225796,2.186514407867427,-0.2313332063583693,0.4748789077348438,ADS_preference
infantll-madison,HPP,mb2_014,infantll-madison:mb2_014,English,199,2,10,American English,TRUE,2.171900963676622,2.0903334850607034,-0.08156747861591862,0.49043137119779,ADS_preference
infantll-madison,HPP,mb2_015,infantll-madison:mb2_015,English,209,1,13,American English,TRUE,1.3696842876161477,1.9648040156765665,0.5951197280604188,0.5892370393791387,IDS_preference
infantll-madison,HPP,mb2_015,infantll-madison:mb2_015,English,224,2,11,American English,TRUE,2.5213363161839584,2.2937244144925666,-0.22761190169139178,0.47636458661452735,ADS_preference
infantll-madison,HPP,mb2_016,infantll-madison:mb2_016,English,263,1,13,American English,TRUE,1.2716569453815212,1.5919515217355824,0.3202945763540612,0.5559249946408549,IDS_preference
infantll-madison,HPP,mb2_016,infantll-madison:mb2_016,English,270,2,11,American English,TRUE,1.0299188761404656,1.46888440659923,0.4389655304587643,0.587835151628559,IDS_preference
infantll-madison,HPP,mb2_017,infantll-madison:mb2_017,English,253,1,16,American English,TRUE,1.597720267427734,1.786838313881176,0.1891180464534421,0.5279383621098832,IDS_preference
infantll-madison,HPP,mb2_017,infantll-madison:mb2_017,English,258,2,15,American English,TRUE,0.8860314599088782,1.2049640957371444,0.31893263582826614,0.5762633461766805,IDS_preference
infantll-madison,HPP,mb2_018,infantll-madison:mb2_018,English,205,1,16,American English,TRUE,2.0087867175614416,1.9848463505045062,-0.023940367056935363,0.49700268318985436,ADS_preference
